year,TEMPpre,DDpre,UWpre.a,UWpre.b,SSHpre.ja.s,SSHpre.ja.c,SSHpre.ms.c,SSHpre.ms.n,EKEpre.ja.s,EKEpre.ja.c,EKEpre.ms.c,EKEpre.ms.n
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,7.585555556,139.62,0.340122037,2.294760741,0.143940357,0.113201071,0.05113,0.033557016,0.007221071,0.016159536,0.017057711,0.016286368
1982,7.678703704,144.65,0.348958167,2.070187778,0.113103333,0.089839247,0.021894132,0.017137763,0.009982933,0.015262933,0.025206579,0.027880632
1983,7.598415094,137.716,0.36008,3.09711434,0.106577333,0.096736333,0.074349368,0.058673447,0.0073513,0.0135856,0.018555684,0.020288053
1984,8.129490566,165.863,0.294613774,0.883299057,0.171638,0.162089333,0.150025385,0.1371,0.0115438,0.021647267,0.014661615,0.011491051
1985,7.668796296,144.115,0.308153889,1.588934444,0.133645333,0.091695667,0.095639211,0.085126478,0.0066316,0.019127267,0.027363947,0.013537158
1986,7.496075472,132.292,0.371947404,2.41899234,0.091329333,0.050386967,0.061077237,0.045226,0.006751067,0.013809467,0.013086711,0.016846421
1987,7.510679245,133.066,0.352142264,2.306510566,0.111735667,0.101995,0.07840641,0.067746923,0.006527467,0.014904567,0.012188513,0.012637718
1988,7.809148148,151.694,0.385107037,2.082416667,0.137982333,0.099088667,0.077770711,0.056770974,0.0072342,0.013824967,0.0147635,0.019666395
1989,7.398716981,127.132,0.383352264,2.696461132,0.106269667,0.06195715,0.014230158,0.016878829,0.006552433,0.0123928,0.015971789,0.014940553
1990,7.444358491,129.551,0.355726792,2.341996226,0.069595333,0.0323369,0.041573385,0.033401513,0.005419733,0.009898533,0.013886923,0.01097759
1991,7.633574074,142.213,0.358349074,2.131985741,0.106192333,0.054552333,0.057752711,0.044185474,0.0048663,0.0090562,0.010666158,0.010472
1992,7.344240741,126.589,0.457303519,3.753262407,0.116491333,0.065096267,0.044638921,0.0225855,0.005700367,0.010647,0.012436579,0.012583474
1993,8.048754717,161.584,0.369244151,1.035219434,0.202173333,0.167470667,0.077135128,0.06095,0.006920367,0.014005933,0.008428487,0.01413041
1994,7.515166667,135.819,0.257245963,0.479169074,0.141527667,0.118403733,0.082962895,0.068510789,0.006315933,0.012842667,0.011061868,0.009590895
1995,7.474833333,133.641,0.389507815,1.601786296,0.125317667,0.082683133,0.0541473,0.038989316,0.006257667,0.0093497,0.012720684,0.008598184
1996,7.401056604,127.256,0.351960085,1.541557849,0.142930333,0.1319111,0.054626474,0.037828442,0.009074033,0.021927533,0.011163947,0.008365842
1997,7.505925926,135.32,0.35486587,1.607163148,0.08836,0.076775484,0.046688161,0.025837316,0.007580387,0.012425419,0.010188132,0.012312395
1998,7.950796296,159.343,0.219967593,0.671905111,0.094811,0.0545682,0.124786316,0.121140263,0.005267567,0.0138292,0.009658658,0.009079868
1999,7.787641509,147.745,0.399707358,1.672467547,0.150938333,0.1358397,0.061780526,0.031541405,0.008979933,0.0171176,0.010516684,0.0124545
2000,7.163037736,114.641,0.489571887,4.397788868,0.052653,0.01822095,0.019531821,-0.012121103,0.007671267,0.013728867,0.013674359,0.010879744
2001,7.274944444,122.847,0.392683611,2.084346296,0.074360667,0.0555741,0.047120668,0.023693868,0.007281,0.015603433,0.013807553,0.009802158
2002,6.850716981,98.088,0.484528679,4.194950377,0.083554667,0.045096633,0.024997142,-0.007075566,0.004239933,0.012995333,0.011491421,0.013329184
2003,7.012962264,106.687,0.604482642,6.639269811,0.090584,0.053312263,0.029157551,-0.00939831,0.004484167,0.0106473,0.013039821,0.013087333
2004,7.271203704,122.645,0.463452778,2.599866667,0.082432667,0.065578667,0.035327842,0.006473447,0.006755967,0.0143577,0.016961868,0.015042605
2005,7.543566038,134.809,0.466954302,1.377318302,0.107558667,0.086185,0.054904334,0.042129834,0.0060043,0.014324067,0.014556658,0.010069711
2006,7.743490566,145.405,0.442003774,1.847235849,0.125873667,0.1033706,0.044649,0.029235985,0.006078433,0.012870267,0.009327821,0.012954744
2007,7.60462963,140.65,0.683665741,4.548464815,0.063861333,0.070995,0.051003974,0.015236289,0.006515167,0.0148016,0.013416105,0.014645132
2008,7.347055556,126.741,0.439186481,3.141037778,0.079137667,0.034452293,0.030297239,0.001897913,0.004616633,0.014116833,0.01164,0.012666816
2009,6.981471698,105.018,0.510777925,6.05418283,0.05445665,0.017932067,0.039636128,-0.009240897,0.006346233,0.01475,0.016281333,0.016444256
2010,6.977074074,106.762,0.403893863,4.247903426,0.095698,0.048882367,0.052139763,0.018533976,0.005294367,0.0172233,0.011347553,0.012718289