year,TEMPspawn,DDspawn,SSH.ja.s,SSH.ja.c,EKE.ja.s,EKE.ja.c
1980,7.94975,58.995,0.143940357,0.113201071,0.007221071,0.016159536
1981,7.999318182,65.985,0.113103333,0.089839247,0.009982933,0.015262933
1982,7.77126087,63.739,0.106577333,0.096736333,0.0073513,0.0135856
1983,8.699913043,85.098,0.171638,0.162089333,0.0115438,0.021647267
1984,7.617818182,57.592,0.133645333,0.091695667,0.0066316,0.019127267
1985,7.80773913,64.578,0.091329333,0.050386967,0.006751067,0.013809467
1986,7.952826087,67.915,0.111735667,0.101995,0.006527467,0.014904567
1987,8.173090909,69.808,0.137982333,0.099088667,0.0072342,0.013824967
1988,7.931565217,67.426,0.106269667,0.06195715,0.006552433,0.0123928
1989,7.657347826,61.119,0.069595333,0.0323369,0.005419733,0.009898533
1990,7.903909091,63.886,0.106192333,0.054552333,0.0048663,0.0090562
1991,7.706772727,59.549,0.116491333,0.065096267,0.005700367,0.010647
1992,8.251347826,74.781,0.202173333,0.167470667,0.006920367,0.014005933
1993,7.973590909,65.419,0.141527667,0.118403733,0.006315933,0.012842667
1994,7.819181818,62.022,0.125317667,0.082683133,0.006257667,0.0093497
1995,8.145086957,72.337,0.142930333,0.1319111,0.009074033,0.021927533
1996,7.673826087,61.498,0.08836,0.076775484,0.007580387,0.012425419
1997,7.737,60.214,0.094811,0.0545682,0.005267567,0.0138292
1998,8.616782609,83.186,0.150938333,0.1358397,0.008979933,0.0171176
1999,7.728391304,62.753,0.052653,0.01822095,0.007671267,0.013728867
2000,7.690909091,59.2,0.074360667,0.0555741,0.007281,0.015603433
2001,7.687130435,61.804,0.083554667,0.045096633,0.004239933,0.012995333
2002,7.464565217,56.685,0.090584,0.053312263,0.004484167,0.0106473
2003,7.884090909,63.45,0.082432667,0.065578667,0.006755967,0.0143577
2004,7.712913043,62.397,0.107558667,0.086185,0.0060043,0.014324067
2005,7.936652174,67.543,0.125873667,0.1033706,0.006078433,0.012870267
2006,7.549909091,56.098,0.063861333,0.070995,0.006515167,0.0148016
2007,7.905272727,63.916,0.079137667,0.034452293,0.004616633,0.014116833
2008,7.529043478,58.168,0.05445665,0.017932067,0.006346233,0.01475
2009,7.835545455,62.382,0.095698,0.048882367,0.005294367,0.0172233
2010,7.960409091,65.129,0.118942667,0.112594107,0.008561767,0.0166828